sub_sentence	context
Ernest Poole and Dorothy Canfield try but they’re hindered by their absolute lack of any sense of humor; but at least they crowd their work instead of spreading it thin.	I believe Rupert Hughes tries to give a real, comprehensive picture of American life, but his style and perspective are barbarous. Ernest Poole and Dorothy Canfield try but they’re hindered by their absolute lack of any sense of humor; but at least they crowd their work instead of spreading it thin. Every author ought to write every book as if he were going to be beheaded the day he finished it.”
“He may vary from the disillusioned critic like old Thornton Hancock, all the way to Trotsky.	“Yes,” said Amory. “He may vary from the disillusioned critic like old Thornton Hancock, all the way to Trotsky. Now this spiritually unmarried man hasn’t direct power, for unfortunately the spiritually married man, as a byproduct of his money chase, has garnered in the great newspaper, the popular magazine, the influential weekly—so that Mrs. Newspaper, Mrs. Magazine, Mrs. Weekly can have a better limousine than those oil people across the street or those cement people ’round the corner.”
Scurrying back to Minneapolis to see a girl he had known as a child seemed the interesting and romantic thing to do, so without compunction he wired his mother not to expect him.	Amory was in full stride, confident, nervous, and jubilant. Scurrying back to Minneapolis to see a girl he had known as a child seemed the interesting and romantic thing to do, so without compunction he wired his mother not to expect him. sat in the train, and thought about himself for thirty-six hours.
Once a day Amory indulged in a club sandwich, cornflakes, and Julienne potatoes at Joe’s, accompanied usually by Kerry or Alec Connage.	February dripped snow and rain, the cyclonic freshman mid-years passed, and life in 12 Univee continued interesting if not purposeful. Once a day Amory indulged in a club sandwich, cornflakes, and Julienne potatoes at Joe’s, accompanied usually by Kerry or Alec Connage. The latter was a quiet, rather aloof slicker from Hotchkiss, who lived next door and shared the same enforced singleness as Amory, due to the fact that his entire class had gone to Yale.
O good Horatio, what a wounded name, Things standing thus unknown, shall live behind me!	As thou’rt a man, Give me the cup: let go; by heaven, I’ll have’t. O good Horatio, what a wounded name, Things standing thus unknown, shall live behind me! If thou didst ever hold me in thy heart, Absent thee from felicity awhile, And in this harsh world draw thy breath in pain, To tell my story.
“Better drift, like me.	“Why decide?” suggested Kerry. “Better drift, like me. I’m going to sail into prominence on Burne’s coattails.”
You start as a messenger or a teller, I believe, and from that you go up—almost indefinitely.	I’m sure you would revel in it. You start as a messenger or a teller, I believe, and from that you go up—almost indefinitely. I’m sure if I were a man I’d love the handling of money; it has become quite a senile passion with me.
They look like an old man’s home.”	“Burne, I think they’re the ugliest-looking crowd I ever came across. They look like an old man’s home.” “Oh, Amory, look at that forehead on Emerson; look at Tolstoy’s eyes.”
In fact, Beatrice wrote that she was putting the money into railroad and streetcar bonds as fast as she could conveniently transfer it.	The entire residue of the Blaine and O’Hara fortunes consisted of the place at Lake Geneva and approximately a half million dollars, invested now in fairly conservative six-per-cent holdings. In fact, Beatrice wrote that she was putting the money into railroad and streetcar bonds as fast as she could conveniently transfer it. “I am quite sure,” she wrote to Amory, “that if there is one thing we can be positive of, it is that people will not stay in one place.
Then their lips brushed like young wild flowers in the wind.	He had never kissed a girl before, and he tasted his lips curiously, as if he had munched some new fruit. Then their lips brushed like young wild flowers in the wind. “We’re awful,” rejoiced Myra gently.
Amory saw him about once a week, and together they gilded the ceiling of Tom’s room and decorated the walls with imitation tapestry, bought at an auction, tall candlesticks and figured curtains.	Tom D’Invilliers became at first an occasion rather than a friend. Amory saw him about once a week, and together they gilded the ceiling of Tom’s room and decorated the walls with imitation tapestry, bought at an auction, tall candlesticks and figured curtains. Amory liked him for being clever and literary without effeminacy or affectation.
Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.	True, worthy Banquo; he is full so valiant, And in his commendations I am fed; It is a banquet to me. Let's after him, Whose care is gone before to bid us welcome: It is a peerless kinsman.
Once a day Amory indulged in a club sandwich, cornflakes, and Julienne potatoes at Joe’s, accompanied usually by Kerry or Alec Connage.	February dripped snow and rain, the cyclonic freshman mid-years passed, and life in 12 Univee continued interesting if not purposeful. Once a day Amory indulged in a club sandwich, cornflakes, and Julienne potatoes at Joe’s, accompanied usually by Kerry or Alec Connage. The latter was a quiet, rather aloof slicker from Hotchkiss, who lived next door and shared the same enforced singleness as Amory, due to the fact that his entire class had gone to Yale.
“Turn down this side street, Richard, and drive straight to the Minnehaha Club!”	Myra made out the party ahead, had an instant vision of her mother, and then—alas for convention—glanced into the eyes beside. “Turn down this side street, Richard, and drive straight to the Minnehaha Club!” she cried through the speaking tube.
“I’m rather pagan at present.	“Perhaps,” he assented. “I’m rather pagan at present. It’s just that religion doesn’t seem to have the slightest bearing on life at my age.”
The violence of either grief or joy Their own enactures with themselves destroy: Where joy most revels, grief doth most lament; Grief joys, joy grieves, on slender accident.	Most necessary ’tis that we forget To pay ourselves what to ourselves is debt: What to ourselves in passion we propose, The passion ending, doth the purpose lose. The violence of either grief or joy Their own enactures with themselves destroy: Where joy most revels, grief doth most lament; Grief joys, joy grieves, on slender accident. This world is not for aye, nor ’tis not strange That even our loves should with our fortunes change; For ’tis a question left us yet to prove, Whether love lead fortune, or else fortune love.
Why, let the stricken deer go weep, The hart ungalled play; For some must watch, while some must sleep: So runs the world away.	Why, let the stricken deer go weep, The hart ungalled play; For some must watch, while some must sleep: So runs the world away. Would not this, sir, and a forest of feathers—if the rest of my fortunes turn Turk with me—with two Provincial roses on my razed shoes, get me a fellowship in a cry of players, sir?
He waited on the doorstep with his eyes nonchalantly half-closed, and planned his entrance with precision.	On Thursday, therefore, he walked pensively along the slippery, shovel-scraped sidewalks, and came in sight of Myra’s house, on the half-hour after five, a lateness which he fancied his mother would have favored. He waited on the doorstep with his eyes nonchalantly half-closed, and planned his entrance with precision. He would cross the floor, not too hastily, to Mrs. St. Claire, and say with exactly the correct modulation: “My dear Mrs. St. Claire, I’m frightfully sorry to be late, but my maid”—he paused there and realized he would be quoting—“but my uncle and I had to see a fella—Yes, I’ve met your enchanting daughter at dancing-school.”
Quick as a flash he turned away, wondering with a touch of panic whether something in the brooding despair of his mood had made a darkness in its tiny soul.	Usually, on nights like this, for there had been many lately, he could escape from this consuming introspection by thinking of children and the infinite possibilities of children—he leaned and listened and he heard a startled baby awake in a house across the street and lend a tiny whimper to the still night. Quick as a flash he turned away, wondering with a touch of panic whether something in the brooding despair of his mood had made a darkness in its tiny soul. He shivered.
No more to wait the twilight of the moon in this sequestered vale of star and spire, for one eternal morning of desire passes to time and earthy afternoon.	The last light fades and drifts across the land—the low, long land, the sunny land of spires; the ghosts of evening tune again their lyres and wander singing in a plaintive band down the long corridors of trees; pale fires echo the night from tower top to tower: Oh, sleep that dreams, and dream that never tires, press from the petals of the lotus flower something of this to keep, the essence of an hour. No more to wait the twilight of the moon in this sequestered vale of star and spire, for one eternal morning of desire passes to time and earthy afternoon. Here, Heraclitus, did you find in fire and shifting things the prophecy you hurled down the dead years; this midnight my desire will see, shadowed among the embers, furled in flame, the splendor and the sadness of the world.
Spires, against a sky that’s a promise of dawn, and blue light on the slate roofs—it hurts.	“That’s what they are,” Tom tangented off, “deep blue—a bit of color would spoil them, make them exotic. Spires, against a sky that’s a promise of dawn, and blue light on the slate roofs—it hurts. rather—” “Goodbye, Aaron Burr,” Amory called toward deserted Nassau Hall, “you and I knew strange corners of life.”
What, the fair Ophelia!	What, the fair Ophelia!
What's the business, That such a hideous trumpet calls to parley The sleepers of the house?	What's the business, That such a hideous trumpet calls to parley The sleepers of the house? speak, speak!
ah fie! ’tis an unweeded garden, That grows to seed; things rank and gross in nature	Fie on’t! ah fie! ’tis an unweeded garden, That grows to seed; things rank and gross in nature Possess it merely.
It was like weakness in a good woman, or blood on satin; one of those terrible incongruities that shake little things in the back of the brain.	with a sort of wrongness that he felt rather than knew. It was like weakness in a good woman, or blood on satin; one of those terrible incongruities that shake little things in the back of the brain. He wore no shoes, but, instead, a sort of half moccasin, pointed, though, like the shoes they wore in the fourteenth century, and with the little ends curling up.
Gonzago is the duke’s name; his wife, Baptista: you shall see anon; ’tis a knavish piece of work: but what o’ that?	This play is the image of a murder done in Vienna: Gonzago is the duke’s name; his wife, Baptista: you shall see anon; ’tis a knavish piece of work: but what o’ that? your majesty and we that have free souls, it touches us not: let the galled jade wince, our withers are unwrung.
With visitors from Ivy and Cottage and Tiger Inn he played the “nice, unspoilt, ingenuous boy” very much at ease and quite unaware of the object of the call.	“Oh, let me see—” he said one night to a flabbergasted delegation, “what club do you represent?” With visitors from Ivy and Cottage and Tiger Inn he played the “nice, unspoilt, ingenuous boy” very much at ease and quite unaware of the object of the call. When the fatal morning arrived, early in March, and the campus became a document in hysteria, he slid smoothly into Cottage with Alec Connage and watched his suddenly neurotic class with much wonder.
“Just the same, I can only cut six more classes, with over a month and a half to go.”	“One of the days is the Sabbath.” “Just the same, I can only cut six more classes, with over a month and a half to go.” “Throw him out!”
This, it seemed, usually aroused the jealous suspicions of the next borrower.	Finally he could borrow no more rings, owing to his nervous habit of chewing them out of shape. This, it seemed, usually aroused the jealous suspicions of the next borrower. All through the summer months Amory and Frog Parker went each week to the Stock Company.
“You two order; Phoebe and I are going to shake a wicked calf,” and they sailed off in the muddled crowd.	shouted Sloane. “You two order; Phoebe and I are going to shake a wicked calf,” and they sailed off in the muddled crowd. Axia and Amory, acquaintances of an hour, jostled behind a waiter to a table at a point of vantage; there they took seats and watched.
Fled to England!	Fled to England!
“No—I’m through—as far as ever being a power in college is concerned.”	“Of course, with a little effort you could still stage a comeback.” “No—I’m through—as far as ever being a power in college is concerned.” “But, Amory, honestly, what makes me the angriest isn’t the fact that you won’t be chairman of the Prince and on the Senior Council, but just that you didn’t get down and pass that exam.”
a harsh phrase from the lips of an older boy (older boys usually detested him) was liable to sweep him off his poise into surly sensitiveness, or timid stupidity.	There was, also, a curious strain of weakness running crosswise through his makeup. a harsh phrase from the lips of an older boy (older boys usually detested him) was liable to sweep him off his poise into surly sensitiveness, or timid stupidity. he was a slave to his own moods and he felt that though he was capable of recklessness and audacity, he possessed neither courage, perseverance, nor self-respect.
Somehow the quiet Humbird, and Sloane, with his impatient superciliousness, were the centre.	Alec and Kerry were the life of it, but not quite the centre. Somehow the quiet Humbird, and Sloane, with his impatient superciliousness, were the centre. Dick Humbird had, ever since freshman year, seemed to Amory a perfect type of aristocrat.
Olson walked through the bathroom and took a cursory glance at Alec’s still form.	We don’t need a valedictory.” Olson walked through the bathroom and took a cursory glance at Alec’s still form. Then he extinguished the lights and motioned them to follow him.
and I will still shout our futilities to each other across the stage until the last silly curtain falls plump!	But men will chatter and you and I will still shout our futilities to each other across the stage until the last silly curtain falls plump! upon our bobbing heads.
“When I had my last breakdown”—she spoke of it as a sturdy, gallant feat.	“Did you, Beatrice?” “When I had my last breakdown”—she spoke of it as a sturdy, gallant feat. “The doctors told me”—her voice sang on a confidential note—“that if any man alive had done the consistent drinking that I have, he would have been physically shattered, my dear, and in his grave—long in his grave.”
Her goodness was above the prosy morals of the husband-seeker, apart from the dull literature of female virtue.	Amory wasn’t good enough for Clara, Clara of ripply golden hair, but then no man was. Her goodness was above the prosy morals of the husband-seeker, apart from the dull literature of female virtue. Sorrow lay lightly around her, and when Amory found her in Philadelphia he thought her steely blue eyes held only happiness; a latent strength, a realism, was brought to its fullest development by the facts that she was compelled to face.
for from broad words and 'cause he fail'd His presence at the tyrant's feast, I hear Macduff lives in disgrace: sir, can you tell Where he bestows himself?	But, peace! for from broad words and 'cause he fail'd His presence at the tyrant's feast, I hear Macduff lives in disgrace: sir, can you tell Where he bestows himself?
There the man half sat, half leaned against a pile of pillows on the corner divan.	That was all; for at the second that his decision came, he looked up and saw, ten yards from him, the man who had been in the café, and with his jump of astonishment the glass fell from his uplifted hand. There the man half sat, half leaned against a pile of pillows on the corner divan. His face was cast in the same yellow wax as in the café, neither the dull, pasty color of a dead man—rather a sort of virile pallor—nor unhealthy, you’d have called it; but like a strong man who’d worked in a mine or done night shifts in a damp climate.
Yet all thought usually reached the public after thirty years in some such form: Benson and Chesterton had popularized Huysmans and Newman; Shaw had sugarcoated Nietzsche and Ibsen and Schopenhauer.	They were too easy, too dangerous to the public mind. Yet all thought usually reached the public after thirty years in some such form: Benson and Chesterton had popularized Huysmans and Newman; Shaw had sugarcoated Nietzsche and Ibsen and Schopenhauer. The man in the street heard the conclusions of dead genius through someone else’s clever paradoxes and didactic epigrams.
Give me your favour: my dull brain was wrought With things forgotten.	Give me your favour: my dull brain was wrought With things forgotten. Kind gentlemen, your pains Are register'd where every day I turn The leaf to read them.
She was accustomed to be thus followed by her desperate past, and it never failed to rouse in her the same feeling of resentment; yet—in a strange town it was an advantageous reputation.	At this Isabelle’s little fist had clinched suddenly under the fur robe. She was accustomed to be thus followed by her desperate past, and it never failed to rouse in her the same feeling of resentment; yet—in a strange town it was an advantageous reputation. She was a “Speed,” was she?
Double, double toil and trouble; Fire burn, and cauldron bubble.	Double, double toil and trouble; Fire burn, and cauldron bubble.
Mackenzie, Chesterton, Galsworthy, Bennett, had sunk in his appreciation from sagacious, life-saturated geniuses to merely diverting contemporaries.	Vandover and the Brute, The Damnation of Theron Ware, and Jennie Gerhardt. Mackenzie, Chesterton, Galsworthy, Bennett, had sunk in his appreciation from sagacious, life-saturated geniuses to merely diverting contemporaries. Shaw’s aloof clarity and brilliant consistency and the gloriously intoxicated efforts of H. G. Wells to fit the key of romantic symmetry into the elusive lock of truth, alone won his rapt attention.
He thought back through two years, of Burne as a hurried, nervous freshman, quite submerged in his brother’s personality.	here were other possible clay feet. He thought back through two years, of Burne as a hurried, nervous freshman, quite submerged in his brother’s personality. Then he remembered an incident of sophomore year, in which Burne had been suspected of the leading role.
I will not be afraid of death and bane, Till Birnam forest come to Dunsinane.	Bring it after me. I will not be afraid of death and bane, Till Birnam forest come to Dunsinane.
Quick as a flash he turned away, wondering with a touch of panic whether something in the brooding despair of his mood had made a darkness in its tiny soul.	Usually, on nights like this, for there had been many lately, he could escape from this consuming introspection by thinking of children and the infinite possibilities of children—he leaned and listened and he heard a startled baby awake in a house across the street and lend a tiny whimper to the still night. Quick as a flash he turned away, wondering with a touch of panic whether something in the brooding despair of his mood had made a darkness in its tiny soul. He shivered.
“Here you are, Juan,” cried she of the damp hair.	He followed directions and as he sprawled up the side, knee-deep in hay, a small, white hand reached out, gripped his, and helped him onto the top. “Here you are, Juan,” cried she of the damp hair. “Do you mind if I drop the Don?”
Please't your highness To grace us with your royal company.	His absence, sir, Lays blame upon his promise. Please't your highness To grace us with your royal company.
He stretched out his arms to the crystalline, radiant sky.	And he could not tell why the struggle was worth while, why he had determined to use to the utmost himself and his heritage from the personalities he had passed. He stretched out his arms to the crystalline, radiant sky. “I know myself,” he cried, “but that is all.”
whose phrase of sorrow Conjures the wandering stars, and makes them stand Like wonder-wounded hearers?	What is he whose grief Bears such an emphasis? whose phrase of sorrow Conjures the wandering stars, and makes them stand Like wonder-wounded hearers? This is I, Hamlet the Dane.
Casey-Jones—mounted to the cab-un Took his farewell journey to the promised land.”	The sound of the graphophone mingled with the voices of many girls humming the air, and a faint glow was born and spread over him: “Casey-Jones—mounted to the cab-un Casey-Jones—’th his orders in his hand. Casey-Jones—mounted to the cab-un Took his farewell journey to the promised land.”
By the great commercializing of printing you’ve found a harmless, polite occupation for every genius who might have carved his own niche.	Artists draw your magazine covers, write your advertisements, hash out ragtime for your theatres. By the great commercializing of printing you’ve found a harmless, polite occupation for every genius who might have carved his own niche. But beware the artist who’s an intellectual also.
I think their inhibition comes by the means of the late innovation.	I think their inhibition comes by the means of the late innovation.
“Oh, golly, Tom!”	He felt the quiver of a tear on his eyelid. “Oh, golly, Tom!”
On the return he launched into a discussion of will.	“Well,” Burne said suddenly, after a few moments’ silence, “we’re halfway through, let’s turn back.” On the return he launched into a discussion of will. “It’s the whole thing,” he asserted.
She works in a Jam Factoree And—that-may-be-all-right	“Oh-h-h-h-h She works in a Jam Factoree And—that-may-be-all-right But you can’t-fool-me For I know—damn—well That she don’t-make-jam-all-night!
She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude.	She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome.
or is it a fee-grief Due to some single breast?	The general cause? or is it a fee-grief Due to some single breast?
For the first time he came into actual cognizance of the family finances, and realized what a tidy fortune had once been under his father’s management.	What interested him much more than the final departure of his father from things mundane was a tri-cornered conversation between Beatrice, Mr. Barton, of Barton and Krogman, their lawyers, and himself, that took place several days after the funeral. For the first time he came into actual cognizance of the family finances, and realized what a tidy fortune had once been under his father’s management. He took a ledger labelled “1906” and ran through it rather carefully.
They had bought flaring suits with huge peg-top trousers and gigantic padded shoulders.	There were Burne and Fred Sloane arrayed to the last dot like the lurid figures on college posters. They had bought flaring suits with huge peg-top trousers and gigantic padded shoulders. On their heads were rakish college hats, pinned up in front and sporting bright orange-and-black bands, while from their celluloid collars blossomed flaming orange ties.
He sat in the big chair and held out his arms so that she could nestle inside them.	“Sit like we do,” she whispered. He sat in the big chair and held out his arms so that she could nestle inside them. “I knew you’d come tonight,” she said softly, “like summer, just when I needed you most.
But I love you—or adore you—or worship you—” “There you go—running through your catalogue of emotions in five seconds.”	“I didn’t feel as though I were speaking aloud. But I love you—or adore you—or worship you—” “There you go—running through your catalogue of emotions in five seconds.” He smiled unwillingly.
In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth.	He was his own best example—sitting in the rain, a human creature of sex and pride, foiled by chance and his own temperament of the balm of love and children, preserved to help in building up the living consciousness of the race. In self-reproach and loneliness and disillusion he came to the entrance of the labyrinth. Another dawn flung itself across the river, a belated taxi hurried along the street, its lamps still shining like burning eyes in a face white from a night’s carouse.
They curved tantalizingly, and she could catch just a glimpse of two pairs of masculine feet in the hall below.	Isabelle started toward the dressing-room for a last peek in the mirror, but something decided her to stand there and gaze down the broad stairs of the Minnehaha Club. They curved tantalizingly, and she could catch just a glimpse of two pairs of masculine feet in the hall below. Pump-shod in uniform black, they gave no hint of identity, but she wondered eagerly if one pair were attached to Amory Blaine.
For the first time in his life he rather longed for death to roll over his generation, obliterating their petty fevers and struggles and exultations.	He was in an eddy again, a deep, lethargic gulf, without desire to work or write, love or dissipate. For the first time in his life he rather longed for death to roll over his generation, obliterating their petty fevers and struggles and exultations. His youth seemed never so vanished as now in the contrast between the utter loneliness of this visit and that riotous, joyful party of four years before.
And, sometimes, even chapel lures That conscious tolerance of yours, That broad and beaming view of truth (Including Kant and General Booth.)	A radical comes down and shocks The atheistic orthodox?– You’re representing Common Sense, Mouth open, in the audience. And, sometimes, even chapel lures That conscious tolerance of yours, That broad and beaming view of truth (Including Kant and General Booth.) And so from shock to shock you live, A hollow, pale affirmative.
They were a darkish brown and his toes seemed to fill them to the end.	He wore no shoes, but, instead, a sort of half moccasin, pointed, though, like the shoes they wore in the fourteenth century, and with the little ends curling up. They were a darkish brown and his toes seemed to fill them to the end. They were unutterably terrible.
Somehow the quiet Humbird, and Sloane, with his impatient superciliousness, were the centre.	Alec and Kerry were the life of it, but not quite the centre. Somehow the quiet Humbird, and Sloane, with his impatient superciliousness, were the centre. Dick Humbird had, ever since freshman year, seemed to Amory a perfect type of aristocrat.
“Listen to the beat of our horses’ hoofs—‘tump-tump-tump-a-tump.’	“The end of summer,” said Eleanor softly. “Listen to the beat of our horses’ hoofs—‘tump-tump-tump-a-tump.’ Have you ever been feverish and had all noises divide into ‘tump-tump-tump’ until you could swear eternity was divisible into so many tumps?
“There’s always a bunch of shy fellas,” he commented, “sitting at the tail of the bob, sorta lurkin’ an’ whisperin’ an’ pushin’ each other off.	Now they talked for a moment about bobbing parties. “There’s always a bunch of shy fellas,” he commented, “sitting at the tail of the bob, sorta lurkin’ an’ whisperin’ an’ pushin’ each other off. Then there’s always some crazy cross-eyed girl”—he gave a terrifying imitation—“she’s always talkin’ hard, sorta, to the chaperon.”
Amory winced, and wondered how this would have sounded to Froggy Parker.	“The doctors told me”—her voice sang on a confidential note—“that if any man alive had done the consistent drinking that I have, he would have been physically shattered, my dear, and in his grave—long in his grave.” Amory winced, and wondered how this would have sounded to Froggy Parker. “Yes,” continued Beatrice tragically, “I had dreams—wonderful visions.”
That it might please you to give quiet pass Through your dominions for this enterprise, On such regards of safety and allowance As therein are set down.	Whereon old Norway, overcome with joy, Gives him three thousand crowns in annual fee, And his commission to employ those soldiers, So levied as before, against the Polack: With an entreaty, (Giving a paper.) That it might please you to give quiet pass Through your dominions for this enterprise, On such regards of safety and allowance As therein are set down.
He had never kissed a girl before, and he tasted his lips curiously, as if he had munched some new fruit.	But Amory, being on the spot, leaned over quickly and kissed Myra’s cheek. He had never kissed a girl before, and he tasted his lips curiously, as if he had munched some new fruit. Then their lips brushed like young wild flowers in the wind.
Here’s the old jitney waiter.	“Oh, he’s all right. Here’s the old jitney waiter. If you ask me, I want a double Daiquiri.”
Look, how she rubs her hands.	What is it she does now? Look, how she rubs her hands.
When he ceased the little man spoke up with a determined nod, as if resolved this time to have his say out.	Men won’t work for blue ribbons, that’s all rot.” When he ceased the little man spoke up with a determined nod, as if resolved this time to have his say out. “There are certain things which are human nature,” he asserted with an owl-like look, “which always have been and always will be, which can’t be changed.”
For a delicious hour that passed too soon they glided the silent roads about Princeton and talked from the surface of their hearts in shy excitement.	It delighted Amory when Isabelle suggested that they leave for a while and drive around in her car. For a delicious hour that passed too soon they glided the silent roads about Princeton and talked from the surface of their hearts in shy excitement. Amory felt strangely ingenuous and made no attempt to kiss her.
