sub_sentence	context	target_sentence
The merciless Macdonwald	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—
his damned quarrel	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name—
his brandish'd steel	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
valour's minion	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;	Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
bade farewell to him, Till he unseam'd him from the nave to the chaps, And fix'd his head upon our battlements.	Which ne'er shook hands, nor bade farewell to him, Till he unseam'd him from the nave to the chaps, And fix'd his head upon our battlements.	Which ne'er shook hands, nor bade farewell to him, Till he unseam'd him from the nave to the chaps, And fix'd his head upon our battlements.
O valiant cousin	O valiant cousin! worthy gentleman!	O valiant cousin!
direful thunders break	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells.
reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells.	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells.
Shipwrecking storms	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells.
valour arm'd	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.	Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
the Norweyan lord surveying vantage	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.	Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
these skipping kerns	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.	Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
furbish'd arms	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.	Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
captains, Macbeth and Banquo?	Dismay'd not this Our captains, Macbeth and Banquo?	Dismay'd not this Our captains, Macbeth and Banquo?
hare the lion.	Yes; As sparrows eagles, or the hare the lion. If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell.	Yes; As sparrows eagles, or the hare the lion.
As sparrows	Yes; As sparrows eagles, or the hare the lion. If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell.	Yes; As sparrows eagles, or the hare the lion.
say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell.	Yes; As sparrows eagles, or the hare the lion. If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell. But I am faint, my gashes cry for help.	If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell.
thee as thy wounds; They smack of honour both.	So well thy words become thee as thy wounds; They smack of honour both. Go get him surgeons.	So well thy words become thee as thy wounds; They smack of honour both.
thane of Ross.	The worthy thane of Ross.	The worthy thane of Ross.
The worthy thane	The worthy thane of Ross.	The worthy thane of Ross.
What a haste	What a haste looks through his eyes! So should he look That seems to speak things strange.	What a haste looks through his eyes!
worthy thane	Whence camest thou, worthy thane?	Whence camest thou, worthy thane?
Whence camest thou	Whence camest thou, worthy thane?	Whence camest thou, worthy thane?
thou, worthy thane?	Whence camest thou, worthy thane?	Whence camest thou, worthy thane?
the Norweyan banners	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold.
king; Where the Norweyan banners flout the sky And fan our people cold.	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold.
a dismal conflict	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.	Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.
Bellona's bridegroom	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.	Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.
that most disloyal traitor	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.	Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.
Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.	Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.
his lavish spirit	Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.	Curbing his lavish spirit: and, to conclude, The victory fell on us.
disbursed at Saint Colme's inch Ten thousand dollars to our general use.	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.
Saint Colme's inch	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.
the Norways' king	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.
go pronounce his present death, And with his former title greet Macbeth.	No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth.	No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth.
Our bosom interest	No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth.	No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth.
I: 'Aroint thee, witch!'	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!' the rump-fed ronyon cries.	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!'
A sailor's wife	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!' the rump-fed ronyon cries.	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!'
the rump-fed ronyon cries	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!' the rump-fed ronyon cries. Her husband's to Aleppo gone, master o' the Tiger: But in a sieve I'll thither sail, And, like a rat without a tail, I'll do, I'll do, and I'll do.	the rump-fed ronyon cries.
rat without a tail, I'll do, I'll do, and I'll do.	the rump-fed ronyon cries. Her husband's to Aleppo gone, master o' the Tiger: But in a sieve I'll thither sail, And, like a rat without a tail, I'll do, I'll do, and I'll do.	Her husband's to Aleppo gone, master o' the Tiger: But in a sieve I'll thither sail, And, like a rat without a tail, I'll do, I'll do, and I'll do.
Thou'rt kind	Thou'rt kind.	Thou'rt kind.
ports they blow, All the quarters that they know I' the shipman's card.	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card. I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid:	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card.
I' the shipman's card	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card. I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid:	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card.
dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid:	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card. I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid: Weary se'nnights nine times nine	I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid:
Weary se'nnights	I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid: Weary se'nnights nine times nine Shall he dwindle, peak and pine: Though his bark cannot be lost, Yet it shall be tempest-tost.	Weary se'nnights nine times nine
lost, Yet it shall be tempest-tost.	Weary se'nnights nine times nine Shall he dwindle, peak and pine: Though his bark cannot be lost, Yet it shall be tempest-tost. Look what I have.	Shall he dwindle, peak and pine: Though his bark cannot be lost, Yet it shall be tempest-tost.
a pilot's thumb	Here I have a pilot's thumb, Wreck'd as homeward he did come.	Here I have a pilot's thumb, Wreck'd as homeward he did come.
hand in hand, Posters of the sea and land, Thus do go about, about: Thrice to thine and thrice to mine And thrice again, to make up nine.	The weird sisters, hand in hand, Posters of the sea and land, Thus do go about, about: Thrice to thine and thrice to mine And thrice again, to make up nine. Peace!	The weird sisters, hand in hand, Posters of the sea and land, Thus do go about, about: Thrice to thine and thrice to mine And thrice again, to make up nine.
the charm's wound	Peace! the charm's wound up.	the charm's wound up.
is't call'd to Forres?	How far is't call'd to Forres? What are these So wither'd	How far is't call'd to Forres?
How far is't	How far is't call'd to Forres? What are these So wither'd	How far is't call'd to Forres?
wild in their attire, That look not like the inhabitants o' the earth, And yet are on't?	What are these So wither'd and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't? Live you?	and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't?
her skinny lips	or are you aught That man may question? You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.	You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.
be women, And yet your beards forbid me to interpret That you are so.	or are you aught That man may question? You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.	You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.
her chappy finger	or are you aught That man may question? You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.	You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.
, Macbeth! hail	All hail, Macbeth! hail to thee, thane of Glamis!	All hail, Macbeth! hail to thee, thane of Glamis!
hail to thee, thane of Glamis!	All hail, Macbeth! hail to thee, thane of Glamis!	All hail, Macbeth! hail to thee, thane of Glamis!
thee, thane of Cawdor!	All hail, Macbeth, hail to thee, thane of Cawdor!	All hail, Macbeth, hail to thee, thane of Cawdor!
hail, Macbeth, thou shalt be king hereafter!	All hail, Macbeth, thou shalt be king hereafter!	All hail, Macbeth, thou shalt be king hereafter!
sir, why do you start; and seem to fear Things that do sound so fair?	Good sir, why do you start; and seem to fear Things that do sound so fair? I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show?	Good sir, why do you start; and seem to fear Things that do sound so fair?
I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show?	Good sir, why do you start; and seem to fear Things that do sound so fair? I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show? My noble partner You greet with present grace and great prediction Of noble having and of royal hope, That he seems rapt withal: to me you speak not.	I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show?
Speak then to me, who neither beg nor fear Your favours nor your hate.	My noble partner You greet with present grace and great prediction Of noble having and of royal hope, That he seems rapt withal: to me you speak not. If you can look into the seeds of time, And say which grain will grow and which will not, Speak then to me, who neither beg nor fear Your favours nor your hate.	If you can look into the seeds of time, And say which grain will grow and which will not, Speak then to me, who neither beg nor fear Your favours nor your hate.
Lesser than Macbeth, and greater.	Lesser than Macbeth, and greater.	Lesser than Macbeth, and greater.
get kings, though thou be none: So all hail, Macbeth and Banquo!	Thou shalt get kings, though thou be none: So all hail, Macbeth and Banquo!	Thou shalt get kings, though thou be none: So all hail, Macbeth and Banquo!
all hail	Banquo and Macbeth, all hail!	Banquo and Macbeth, all hail!
Banquo and Macbeth, all hail!	Banquo and Macbeth, all hail!	Banquo and Macbeth, all hail!
how of Cawdor?	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor?
Sinel's death	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor?
thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence?	the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.
A prosperous gentleman	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence?	the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.
Cawdor lives	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence?	the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.
owe this strange intelligence?	the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence? or why Upon this blasted heath you stop our way With such prophetic greeting?	Say from whence You owe this strange intelligence?
stop our way With such prophetic greeting?	Say from whence You owe this strange intelligence? or why Upon this blasted heath you stop our way With such prophetic greeting? Speak, I charge you.	or why Upon this blasted heath you stop our way With such prophetic greeting?
such prophetic greeting	Say from whence You owe this strange intelligence? or why Upon this blasted heath you stop our way With such prophetic greeting? Speak, I charge you.	or why Upon this blasted heath you stop our way With such prophetic greeting?
melted As breath into the wind.	Into the air; and what seem'd corporal melted As breath into the wind. Would they had stay'd!	Into the air; and what seem'd corporal melted As breath into the wind.
what seem'd corporal	Into the air; and what seem'd corporal melted As breath into the wind. Would they had stay'd!	Into the air; and what seem'd corporal melted As breath into the wind.
the insane root	Were such things here as we do speak about? Or have we eaten on the insane root That takes the reason prisoner?	Or have we eaten on the insane root That takes the reason prisoner?
root That takes the reason prisoner?	Were such things here as we do speak about? Or have we eaten on the insane root That takes the reason prisoner?	Or have we eaten on the insane root That takes the reason prisoner?
thane of Cawdor too: went it not so?	And thane of Cawdor too: went it not so?	And thane of Cawdor too: went it not so?
the selfsame tune	To the selfsame tune and words. Who's here?	To the selfsame tune and words.
Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that,	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death.	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that,
