sub_sentence	context
a rebel's whore	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
The multiplying villanies	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
The merciless Macdonwald	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
his damned quarrel	Doubtful it stood; As two spent swimmers, that do cling together And choke their art. The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
his brandish'd steel	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
carved out his passage Till he faced the slave;	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
valour's minion	The merciless Macdonwald— Worthy to be a rebel, for to that The multiplying villanies of nature Do swarm upon him—from the western isles Of kerns and gallowglasses is supplied; And fortune, on his damned quarrel smiling, Show'd like a rebel's whore: but all's too weak: For brave Macbeth—well he deserves that name— Disdaining fortune, with his brandish'd steel, Which smoked with bloody execution, Like valour's minion carved out his passage Till he faced the slave;
bade farewell to him, Till he unseam'd him from the nave to the chaps, And fix'd his head upon our battlements.	Which ne'er shook hands, nor bade farewell to him, Till he unseam'd him from the nave to the chaps, And fix'd his head upon our battlements.
O valiant cousin	O valiant cousin! worthy gentleman!
direful thunders break	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells.	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
Shipwrecking storms	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
valour arm'd	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
the Norweyan lord surveying vantage	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
these skipping kerns	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
furbish'd arms	As whence the sun 'gins his reflection Shipwrecking storms and direful thunders break, So from that spring whence comfort seem'd to come Discomfort swells. Mark, king of Scotland, mark: No sooner justice had with valour arm'd Compell'd these skipping kerns to trust their heels, But the Norweyan lord surveying vantage, With furbish'd arms and new supplies of men Began a fresh assault.
captains, Macbeth and Banquo?	Dismay'd not this Our captains, Macbeth and Banquo?
hare the lion.	Yes; As sparrows eagles, or the hare the lion. If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell.
As sparrows	Yes; As sparrows eagles, or the hare the lion. If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell.
say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell.	Yes; As sparrows eagles, or the hare the lion. If I say sooth, I must report they were As cannons overcharged with double cracks, so they Doubly redoubled strokes upon the foe: Except they meant to bathe in reeking wounds, Or memorise another Golgotha, I cannot tell. But I am faint, my gashes cry for help.
thee as thy wounds; They smack of honour both.	So well thy words become thee as thy wounds; They smack of honour both. Go get him surgeons.
thane of Ross.	The worthy thane of Ross.
The worthy thane	The worthy thane of Ross.
What a haste	What a haste looks through his eyes! So should he look That seems to speak things strange.
worthy thane	Whence camest thou, worthy thane?
Whence camest thou	Whence camest thou, worthy thane?
thou, worthy thane?	Whence camest thou, worthy thane?
the Norweyan banners	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.
king; Where the Norweyan banners flout the sky And fan our people cold.	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.
a dismal conflict	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.
Bellona's bridegroom	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.
that most disloyal traitor	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.
Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm.	From Fife, great king; Where the Norweyan banners flout the sky And fan our people cold. Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.
his lavish spirit	Norway himself, With terrible numbers, Assisted by that most disloyal traitor The thane of Cawdor, began a dismal conflict; Till that Bellona's bridegroom, lapp'd in proof, Confronted him with self-comparisons, Point against point rebellious, arm 'gainst arm. Curbing his lavish spirit: and, to conclude, The victory fell on us.
disbursed at Saint Colme's inch Ten thousand dollars to our general use.	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.
Saint Colme's inch	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.
the Norways' king	That now Sweno, the Norways' king, craves composition: Nor would we deign him burial of his men Till he disbursed at Saint Colme's inch Ten thousand dollars to our general use.
go pronounce his present death, And with his former title greet Macbeth.	No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth.
Our bosom interest	No more that thane of Cawdor shall deceive Our bosom interest: go pronounce his present death, And with his former title greet Macbeth.
I: 'Aroint thee, witch!'	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!' the rump-fed ronyon cries.
A sailor's wife	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!' the rump-fed ronyon cries.
the rump-fed ronyon cries	A sailor's wife had chestnuts in her lap, And munch'd, and munch'd, and munch'd:— 'Give me,' quoth I: 'Aroint thee, witch!' the rump-fed ronyon cries. Her husband's to Aleppo gone, master o' the Tiger: But in a sieve I'll thither sail, And, like a rat without a tail, I'll do, I'll do, and I'll do.
rat without a tail, I'll do, I'll do, and I'll do.	the rump-fed ronyon cries. Her husband's to Aleppo gone, master o' the Tiger: But in a sieve I'll thither sail, And, like a rat without a tail, I'll do, I'll do, and I'll do.
Thou'rt kind	Thou'rt kind.
ports they blow, All the quarters that they know I' the shipman's card.	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card. I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid:
I' the shipman's card	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card. I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid:
dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid:	I myself have all the other, And the very ports they blow, All the quarters that they know I' the shipman's card. I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid: Weary se'nnights nine times nine
Weary se'nnights	I will drain him dry as hay: Sleep shall neither night nor day Hang upon his pent-house lid; He shall live a man forbid: Weary se'nnights nine times nine Shall he dwindle, peak and pine: Though his bark cannot be lost, Yet it shall be tempest-tost.
lost, Yet it shall be tempest-tost.	Weary se'nnights nine times nine Shall he dwindle, peak and pine: Though his bark cannot be lost, Yet it shall be tempest-tost. Look what I have.
a pilot's thumb	Here I have a pilot's thumb, Wreck'd as homeward he did come.
hand in hand, Posters of the sea and land, Thus do go about, about: Thrice to thine and thrice to mine And thrice again, to make up nine.	The weird sisters, hand in hand, Posters of the sea and land, Thus do go about, about: Thrice to thine and thrice to mine And thrice again, to make up nine. Peace!
the charm's wound	Peace! the charm's wound up.
is't call'd to Forres?	How far is't call'd to Forres? What are these So wither'd
How far is't	How far is't call'd to Forres? What are these So wither'd
wild in their attire, That look not like the inhabitants o' the earth, And yet are on't?	What are these So wither'd and so wild in their attire, That look not like the inhabitants o' the earth, And yet are on't? Live you?
her skinny lips	or are you aught That man may question? You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.
be women, And yet your beards forbid me to interpret That you are so.	or are you aught That man may question? You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.
her chappy finger	or are you aught That man may question? You seem to understand me, By each at once her chappy finger laying Upon her skinny lips: you should be women, And yet your beards forbid me to interpret That you are so.
, Macbeth! hail	All hail, Macbeth! hail to thee, thane of Glamis!
hail to thee, thane of Glamis!	All hail, Macbeth! hail to thee, thane of Glamis!
thee, thane of Cawdor!	All hail, Macbeth, hail to thee, thane of Cawdor!
hail, Macbeth, thou shalt be king hereafter!	All hail, Macbeth, thou shalt be king hereafter!
sir, why do you start; and seem to fear Things that do sound so fair?	Good sir, why do you start; and seem to fear Things that do sound so fair? I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show?
I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show?	Good sir, why do you start; and seem to fear Things that do sound so fair? I' the name of truth, Are ye fantastical, or that indeed Which outwardly ye show? My noble partner You greet with present grace and great prediction Of noble having and of royal hope, That he seems rapt withal: to me you speak not.
Speak then to me, who neither beg nor fear Your favours nor your hate.	My noble partner You greet with present grace and great prediction Of noble having and of royal hope, That he seems rapt withal: to me you speak not. If you can look into the seeds of time, And say which grain will grow and which will not, Speak then to me, who neither beg nor fear Your favours nor your hate.
Lesser than Macbeth, and greater.	Lesser than Macbeth, and greater.
get kings, though thou be none: So all hail, Macbeth and Banquo!	Thou shalt get kings, though thou be none: So all hail, Macbeth and Banquo!
all hail	Banquo and Macbeth, all hail!
Banquo and Macbeth, all hail!	Banquo and Macbeth, all hail!
how of Cawdor?	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.
Sinel's death	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.
thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor.	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence?
A prosperous gentleman	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence?
Cawdor lives	Stay, you imperfect speakers, tell me more: By Sinel's death I know I am thane of Glamis; But how of Cawdor? the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence?
owe this strange intelligence?	the thane of Cawdor lives, A prosperous gentleman; and to be king Stands not within the prospect of belief, No more than to be Cawdor. Say from whence You owe this strange intelligence? or why Upon this blasted heath you stop our way With such prophetic greeting?
stop our way With such prophetic greeting?	Say from whence You owe this strange intelligence? or why Upon this blasted heath you stop our way With such prophetic greeting? Speak, I charge you.
such prophetic greeting	Say from whence You owe this strange intelligence? or why Upon this blasted heath you stop our way With such prophetic greeting? Speak, I charge you.
melted As breath into the wind.	Into the air; and what seem'd corporal melted As breath into the wind. Would they had stay'd!
what seem'd corporal	Into the air; and what seem'd corporal melted As breath into the wind. Would they had stay'd!
the insane root	Were such things here as we do speak about? Or have we eaten on the insane root That takes the reason prisoner?
root That takes the reason prisoner?	Were such things here as we do speak about? Or have we eaten on the insane root That takes the reason prisoner?
thane of Cawdor too: went it not so?	And thane of Cawdor too: went it not so?
the selfsame tune	To the selfsame tune and words. Who's here?
Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that,	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death.
the selfsame day	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.
finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death.	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.
Nothing afeard	The king hath happily received, Macbeth, The news of thy success; and when he reads Thy personal venture in the rebels' fight, His wonders and his praises do contend Which should be thine or his: silenced with that, In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.
pour'd them down before him.	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.
his kingdom's great defence	In viewing o'er the rest o' the selfsame day, He finds thee in the stout Norweyan ranks, Nothing afeard of what thyself didst make, Strange images of death. As thick as hail Came post with post; and every one did bear Thy praises in his kingdom's great defence, And pour'd them down before him.
herald thee into his sight, Not pay thee.	We are sent To give thee from our royal master thanks; Only to herald thee into his sight, Not pay thee.
a greater honour	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane! For it is thine.
earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane!	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane! For it is thine.
most worthy thane	And, for an earnest of a greater honour, He bade me, from him, call thee thane of Cawdor: In which addition, hail, most worthy thane! For it is thine.
borrow'd robes	The thane of Cawdor lives: why do you dress me In borrow'd robes?
dress me In borrow'd robes?	The thane of Cawdor lives: why do you dress me In borrow'd robes?
his country's wreck	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
capital, confess'd and proved, Have overthrown him.	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
treasons capital	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
both He labour'd	Who was the thane lives yet; But under heavy judgment bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labour'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
[Aside] Glamis	[Aside] Glamis, and thane of Cawdor! The greatest is behind.
thane of Cawdor!	[Aside] Glamis, and thane of Cawdor! The greatest is behind.
hope your children shall be kings, When those that gave the thane of Cawdor to me Promised no less to them?	Thanks for your pains. Do you not hope your children shall be kings, When those that gave the thane of Cawdor to me Promised no less to them?
enkindle you unto the crown, Besides the thane of Cawdor.	That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor. But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence.
honest trifles	That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor. But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence. Cousins, a word, I pray you.
Win us with honest trifles, to betray's In deepest consequence.	That trusted home Might yet enkindle you unto the crown, Besides the thane of Cawdor. But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence. Cousins, a word, I pray you.
Cousins, a word, I pray you.	But 'tis strange: And oftentimes, to win us to our harm, The instruments of darkness tell us truths, Win us with honest trifles, to betray's In deepest consequence. Cousins, a word, I pray you.
prologues to the swelling act Of the imperial theme.—I thank you, gentlemen.	[Aside] Two truths are told, As happy prologues to the swelling act Of the imperial theme.—I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth?
happy prologues	[Aside] Two truths are told, As happy prologues to the swelling act Of the imperial theme.—I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth?
the swelling act	[Aside] Two truths are told, As happy prologues to the swelling act Of the imperial theme.—I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth?
Commencing in a truth?	[Aside] Two truths are told, As happy prologues to the swelling act Of the imperial theme.—I thank you, gentlemen. Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature?
knock at my ribs, Against the use of nature?	Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings:
Whose horrid image	Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings:
my seated heart	Cannot be ill, cannot be good: if ill, Why hath it given me earnest of success, Commencing in a truth? I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings:
less than horrible imaginings:	I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings: My thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.
horrible imaginings	I am thane of Cawdor: If good, why do I yield to that suggestion Whose horrid image doth unfix my hair And make my seated heart knock at my ribs, Against the use of nature? Present fears Are less than horrible imaginings: My thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.
thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.	Present fears Are less than horrible imaginings: My thought, whose murder yet is but fantastical, Shakes so my single state of man that function Is smother'd in surmise, and nothing is But what is not.
crown me, Without my stir.	If chance will have me king, why, chance may crown me, Without my stir.
cleave not to their mould But with the aid of use.	New horrors come upon him, Like our strange garments, cleave not to their mould But with the aid of use.
our strange garments	New horrors come upon him, Like our strange garments, cleave not to their mould But with the aid of use.
my dull brain	Give me your favour: my dull brain was wrought With things forgotten. Kind gentlemen, your pains Are register'd where every day I turn The leaf to read them.
Think upon what hath chanced, and, at more time, The interim having weigh'd it, let us speak Our free hearts each to other.	Let us toward the king. Think upon what hath chanced, and, at more time, The interim having weigh'd it, let us speak Our free hearts each to other.
execution done on Cawdor?	Is execution done on Cawdor? Are not Those in commission yet return'd?
Those in commission yet return'd?	Is execution done on Cawdor? Are not Those in commission yet return'd?
a careless trifle	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.
your highness' pardon	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.
A deep repentance	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.
twere a careless trifle.	My liege, They are not yet come back. But I have spoke With one that saw him die: who did report That very frankly he confess'd his treasons, Implored your highness' pardon and set forth A deep repentance: nothing in his life Became him like the leaving it; he died As one that had been studied in his death To throw away the dearest thing he owed, As 'twere a careless trifle.
gentleman on whom I built An absolute trust.	There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust. O worthiest cousin!
the mind's construction	There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust. O worthiest cousin!
