ORIGINAL	TRANSLATED
“My nerves are on edge—on edge. We must leave this terrifying place tomorrow and go searching for sunshine	I'm super stressed out, like, totally on edge. We gotta get out of this awful place tomorrow and find some sunshine.

Amory’s penetrating green eyes would look out through tangled hair at his mother. Even at this age he had no illusions about her. “Amory	Amory's sharp green eyes peeked out from under his messy hair, watching his mother. Even as a child, he understood her pretty well.

“Oh, yes.” “I want you to take a red-hot bath as hot as you can bear it, and just relax your nerves. You can read in the tub if you wish.” She fed him sections of the Fêtes Galantes before he was ten; at eleven he could talk glibly, if rather reminiscently, of Brahms and Mozart and Beethoven	"Okay," she said. "I want you to take a really hot bath, as hot as you can handle, and just chill out. You can even read in the bath if you want." She introduced him to the "Fêtes Galantes" poems before he was ten. By eleven, he could talk easily about Brahms, Mozart, and Beethoven, although he mostly repeated what he'd heard before.

One afternoon, when left alone in the hotel at Hot Springs, he sampled his mother’s apricot cordial, and as the taste pleased him, he became quite tipsy. This was fun for a while, but he essayed a cigarette in his exaltation, and succumbed to a vulgar, plebeian reaction	One afternoon, alone in the hotel in Hot Springs, he tried his mother's apricot drink. He liked it, so he drank enough to get a little drunk. That was fun at first, but then he tried to smoke a cigarette while feeling good, and he ended up feeling sick and awful.

Though this incident horrified Beatrice, it also secretly amused her and became part of what in a later generation would have been termed her “line.” “This son of mine,” he heard her tell a room full of awestruck, admiring women one day, “is entirely sophisticated and quite charming—but delicate—we’re all delicate; here, you know	Even though this event shocked Beatrice, it also secretly entertained her and became part of her "thing," what later generations would call her "shtick." One day, someone heard her say to a room full of amazed, admiring women, "This son of mine is totally worldly and very charming—but he's fragile—we're all fragile, you know?"

Her hand was radiantly outlined against her beautiful bosom; then sinking her voice to a whisper, she told them of the apricot cordial. They rejoiced, for she was a brave raconteuse, but many were the keys turned in sideboard locks that night against the possible defection of little Bobby or Barbara. These domestic pilgrimages were invariably in state; two maids, the private car, or Mr. Blaine when available, and very often a physician.	Her hand glowed against her chest. She whispered about the apricot liqueur. Everyone was happy because she told great stories. But later, people locked up their liquor cabinets, just in case their kids, Bobby or Barbara, tried to sneak some. These trips back home were always a big deal, involving two maids, a private train car (or Mr. Blaine, if he was free), and usually a doctor.

When Amory had the whooping-cough four disgusted specialists glared at each other hunched around his bed; when he took scarlet fever the number of attendants, including physicians and nurses, totalled fourteen. However, blood being thicker than broth, he was pulled through	When Amory had the whooping cough, four annoyed doctors stared at each other, gathered around his bed. When he got scarlet fever, fourteen people, including doctors and nurses, took care of him. But because family is important, he recovered.

The Blaines were attached to no city. They were the Blaines of Lake Geneva; they had quite enough relatives to serve in place of friends, and an enviable standing from Pasadena to Cape Cod	The Blaines didn't really belong anywhere. They were known as the Blaines of Lake Geneva. They had so many relatives that they didn't need friends, and everyone respected them, from California to Massachusetts.

But Beatrice grew more and more prone to like only new acquaintances, as there were certain stories, such as the history of her constitution and its many amendments, memories of her years abroad, that it was necessary for her to repeat at regular intervals. Like Freudian dreams, they must be thrown off, else they would sweep in and lay siege to her nerves. But Beatrice was critical about American women, especially the floating population of ex-Westerners. “They have accents, my dear,” she told Amory, “not Southern accents or Boston accents, not an accent attached to any locality, just an accent”—she became dreamy	Beatrice increasingly preferred making new friends because she needed to tell certain stories over and over, like her health problems and her time living overseas. She had to get them off her chest, like in Freudian dreams, or they'd overwhelm her. But Beatrice judged American women, especially those who used to live out West and now traveled a lot. "They have strange ways of talking, honey," she told Amory, "not accents from the South or Boston, not an accent that comes from anywhere specific, just... an accent." Then she drifted off into thought.

“They pick up old, moth-eaten London accents that are down on their luck and have to be used by someone. They talk as an English butler might after several years in a Chicago grand-opera company	They start using old-fashioned, worn-out British accents that nobody wants anymore. They sound like a British butler who's spent years working for a fancy opera company in Chicago.

She became almost incoherent—“Suppose—time in every Western woman’s life—she feels her husband is prosperous enough for her to have—accent—they try to impress me, my dear—” Though she thought of her body as a mass of frailties, she considered her soul quite as ill, and therefore important in her life. She had once been a Catholic, but discovering that priests were infinitely more attentive when she was in process of losing or regaining faith in Mother Church, she maintained an enchantingly wavering attitude. Often she deplored the bourgeois quality of the American Catholic clergy, and was quite sure that had she lived in the shadow of the great Continental cathedrals her soul would still be a thin flame on the mighty altar of Rome. Still, next to doctors, priests were her favorite sport	She started rambling, saying something like, "You know, there's a time when every woman thinks her husband makes enough money so she can get an accent. They try to show off to me, darling." Even though she knew her body was weak, she thought her inner self was just as messed up and, therefore, just as important. She used to be Catholic, but realized priests paid way more attention to her when she was deciding whether to believe in the Church again. So, she pretended to be constantly unsure about her faith. She often complained about how uncultured American Catholic priests were. She was convinced that if she'd lived near the famous cathedrals in Europe, she would still be a devout Catholic. But, besides doctors, priests were her favorite people to tease.

“Ah, Bishop Wiston,” she would declare, “I do not want to talk of myself. I can imagine the stream of hysterical women fluttering at your doors, beseeching you to be simpatico”—then after an interlude filled by the clergyman—“but my mood—is—oddly dissimilar.” Only to bishops and above did she divulge her clerical romance. When she had first returned to her country there had been a pagan, Swinburnian young man in Asheville, for whose passionate kisses and unsentimental conversations she had taken a decided penchant—they had discussed the matter pro and con with an intellectual romancing quite devoid of sappiness	"Oh, Bishop Wiston," she'd say, "I don't want to talk about me. I can just picture all those emotional women crowding around you, begging you to understand them." After the bishop would say something, she'd add, "But my mood is...completely different." She only told bishops and higher-ups about her love affair with a clergyman. When she first came back to the States, there was this wild, rebellious guy in Asheville she really liked for his intense kisses and realistic conversations. They debated their relationship, keeping it intellectual and avoiding being overly sentimental.

Eventually she had decided to marry for background, and the young pagan from Asheville had gone through a spiritual crisis, joined the Catholic Church, and was now—Monsignor Darcy. “Indeed, Mrs. Blaine	Finally, she chose to marry someone for his family and social standing. The wild guy from Asheville had a personal crisis, became Catholic, and is now a high-ranking priest, Monsignor Darcy. "Yes, Mrs. Blaine?"

He is still delightful company—quite the cardinal’s right-hand man.” “Amory will go to him one day, I know,” breathed the beautiful lady, “and Monsignor Darcy will understand him as he understood me.” Amory became thirteen, rather tall and slender, and more than ever on to his Celtic mother. He had tutored occasionally—the idea being that he was to “keep up,” at each place “taking up the work where he left off,” yet as no tutor ever found the place he left off, his mind was still in very good shape	"He's still fun to be around—like the cardinal's top assistant." "Amory will go to him someday, I'm sure," the beautiful woman whispered, "and Monsignor Darcy will get him, just like he got me." Amory turned thirteen, pretty tall and thin, and even more like his Irish mom than before. He'd had tutors now and then—the plan was for him to "stay sharp," and at each new place to "pick up where he left off." But since no tutor could ever figure out where he'd left off, his brain was still in pretty good condition.

What a few more years of this life would have made of him is problematical. However, four hours out from land, Italy bound, with Beatrice, his appendix burst, probably from too many meals in bed, and after a series of frantic telegrams to Europe and America, to the amazement of the passengers the great ship slowly wheeled around and returned to New York to deposit Amory at the pier. You will admit that if it was not life it was magnificent	It's hard to say what would have become of him if he'd kept living like that. But, here's what happened: four hours into a trip to Italy with Beatrice, his appendix burst, probably from eating too much in bed. After a bunch of desperate telegrams to Europe and America, the ship, shockingly, turned around and went back to New York to drop Amory off. You have to admit, even if it wasn't ideal, it was pretty dramatic.

After the operation Beatrice had a nervous breakdown that bore a suspicious resemblance to delirium tremens, and Amory was left in Minneapolis, destined to spend the ensuing two years with his aunt and uncle. There the crude, vulgar air of Western civilization first catches him—in his underwear, so to speak.	After her surgery, Beatrice had a mental breakdown that seemed a lot like she was going crazy from alcohol withdrawal. Amory was stuck in Minneapolis and would be spending the next couple of years with his aunt and uncle. That's where he first experienced the rough and unsophisticated culture of the Midwest – completely unprepared.

His lip curled when he read it. “I am going to have a bobbing party,” it said, “on Thursday, December the seventeenth, at five o’clock, and I would like it very much if you could come. Yours truly, Myra St. Claire	He frowned when he read the note. It said, "I'm having a bobbing for apples party on Thursday, December 17th, at 5:00 PM, and I'd really like you to come. Sincerely, Myra St. Claire."

He had been two months in Minneapolis, and his chief struggle had been the concealing from “the other guys at school” how particularly superior he felt himself to be, yet this conviction was built upon shifting sands. He had shown off one day in French class (he was in senior French class) to the utter confusion of Mr. Reardon, whose accent Amory damned contemptuously, and to the delight of the class	He'd been in Minneapolis for two months, mostly trying to hide how much smarter he thought he was than the other kids at school. But he wasn't really sure of himself. One day, he showed off in French class (he was in the advanced class), totally embarrassing Mr. Reardon because Amory hated his accent. The class loved it, though.

Mr. Reardon, who had spent several weeks in Paris ten years before, took his revenge on the verbs, whenever he had his book open. But another time Amory showed off in history class, with quite disastrous results, for the boys there were his own age, and they shrilled innuendoes at each other all the following week: “Aw—I b’lieve, doncherknow, the Umuricun revolution was lawgely an affair of the middul clawses,” or “Washington came of very good blood—aw, quite good—I b’lieve	Mr. Reardon, who'd been to Paris for a few weeks a decade ago, really went after the verbs in grammar, every time he looked at his textbook. But another time, Amory tried to show off in history class, and it backfired badly. Since the other guys were his age, they made snide comments about it all week: "Oh, I *think* the American Revolution was mostly a middle-class thing, you know?" or "Washington was from a *really* good family, you know, very posh, I *think*."

Amory ingeniously tried to retrieve himself by blundering on purpose. Two years before he had commenced a history of the United States which, though it only got as far as the Colonial Wars, had been pronounced by his mother completely enchanting. His chief disadvantage lay in athletics, but as soon as he discovered that it was the touchstone of power and popularity at school, he began to make furious, persistent efforts to excel in the winter sports, and with his ankles aching and bending in spite of his efforts, he skated valiantly around the Lorelie rink every afternoon, wondering how soon he would be able to carry a hockey-stick without getting it inexplicably tangled in his skates	Amory cleverly tried to recover by messing up on purpose. Two years earlier, he'd started writing a U.S. history, which, even though it only covered the Colonial Wars, his mother thought was amazing. His biggest problem was sports, but once he realized that being good at sports meant you were popular and powerful at school, he tried really hard to get good at winter sports. So, with his ankles hurting and bending, he skated bravely around the Lorelie rink every afternoon, wondering when he'd be able to hold a hockey stick without tripping over his own feet.

The invitation to Miss Myra St. Claire’s bobbing party spent the morning in his coat pocket, where it had an intense physical affair with a dusty piece of peanut brittle. During the afternoon he brought it to light with a sigh, and after some consideration and a preliminary draft in the back of Collar and Daniel’s First-Year Latin, composed an answer: My dear Miss St. Claire: Your truly charming envitation for the evening of next Thursday evening was truly delightful to receive this morning	He had an invitation to Myra St. Claire's party in his pocket all morning, getting stuck to a piece of peanut brittle. In the afternoon, he took it out with a sigh. After thinking about it and writing a practice version in the back of his Latin textbook, he wrote back: Dear Miss St. Claire, I was so happy to get your lovely invitation for Thursday night.

I will be charm and inchanted indeed to present my compliments on next Thursday evening. Faithfully, Amory Blaine	I'd be really happy to come by and say hello next Thursday evening. Sincerely, Amory Blaine.

On Thursday, therefore, he walked pensively along the slippery, shovel-scraped sidewalks, and came in sight of Myra’s house, on the half-hour after five, a lateness which he fancied his mother would have favored. He waited on the doorstep with his eyes nonchalantly half-closed, and planned his entrance with precision.	So, on Thursday, he walked thoughtfully down the slick, shoveled sidewalks and saw Myra's house. It was about 5:30, which he thought his mom would approve of. He waited on the porch, eyes half-closed like he didn't care, and carefully planned what he would say when he went inside.

He would cross the floor, not too hastily, to Mrs. St. Claire, and say with exactly the correct modulation: “My dear Mrs. St. Claire, I’m frightfully sorry to be late, but my maid”—he paused there and realized he would be quoting—“but my uncle and I had to see a fella—Yes, I’ve met your enchanting daughter at dancing-school.”	He'd walk over to Mrs. St. Claire, not too fast, and say, in just the right tone, "Mrs. St. Claire, I'm really sorry I'm late, but my uh..." He stopped, realizing he was about to lie. "My uncle and I had to meet someone. Oh, and yes, I've met your lovely daughter at dance class."

Then he would shake hands, using that slight, half-foreign bow, with all the starchy little females, and nod to the fellas who would be standing ’round, paralyzed into rigid groups for mutual protection. A butler (one of the three in Minneapolis) swung open the door. Amory stepped inside and divested himself of cap and coat	He'd shake hands, giving a small, almost European-style bow, to all the proper young women, and nod to the guys standing nearby, frozen in awkward groups for support. A butler (one of only three in Minneapolis!) opened the door. Amory went inside and took off his hat and coat.

He was mildly surprised not to hear the shrill squawk of conversation from the next room, and he decided it must be quite formal. He approved of that—as he approved of the butler	He was a little surprised that the next room was quiet, without the loud chatter he expected. He figured it must be a fancy event. He liked that, just like he liked the butler.

“Miss Myra,” he said. To his surprise the butler grinned horribly	"Miss Myra," he said. The butler's creepy grin surprised him.

“Oh, yeah,” he declared, “she’s here.” He was unaware that his failure to be cockney was ruining his standing	"Yeah," he said. "She's here." He didn't realize that not having a Cockney accent was hurting his image.

Amory considered him coldly. “But,” continued the butler, his voice rising unnecessarily, “she’s the only one what is here. The party’s gone	Amory looked at him, unimpressed. "But," the butler went on, raising his voice for no reason, "she's the only person here. Everyone else has left the party."

Amory gasped in sudden horror. “What?” “She’s been waitin’ for Amory Blaine. That’s you, ain’t it? Her mother says that if you showed up by five-thirty you two was to go after ’em in the Packard.” Amory’s despair was crystallized by the appearance of Myra herself, bundled to the ears in a polo coat, her face plainly sulky, her voice pleasant only with difficulty	Amory was shocked. "What?" "She's been waiting for Amory Blaine. That's you, right? Her mom said if you were here by 5:30, you two were supposed to chase after them in the Packard." Amory's dread became real when Myra showed up. She was wrapped up in a big coat, looked obviously annoyed, and forced herself to sound nice.

“ ’Lo, Amory.” “ ’Lo, Myra	"Hey, Amory." "Hey, Myra."

He had described the state of his vitality. “Well—you got here, anyways	He talked about how energetic he felt. "Well, you made it here, at least."

“Well—I’ll tell you. I guess you don’t know about the auto accident,” he romanced. Myra’s eyes opened wide. “Who was it to?” “Well,” he continued desperately, “uncle ’n aunt ’n I	"Okay, so, you probably haven't heard about the car crash," he began, making up the story. Myra looked shocked. "Who was in it?" "Well," he rushed on, sounding nervous, "it was my uncle, aunt, and me."

“Was anyone killed?” Amory paused and then nodded. “Your uncle?”—alarm. “Oh, no just a horse—a sorta gray horse.” At this point the Erse butler snickered	"Did anyone die?" Amory stopped, then nodded. "Your uncle?"—worried. "Oh, no, just a horse—a kind of gray horse." The Irish butler chuckled at this.

“Probably killed the engine,” he suggested. Amory would have put him on the rack without a scruple. “We’ll go now,” said Myra coolly	"He probably stalled the car," he guessed. Amory would have tortured him without hesitation. "Let's go," Myra said calmly.

“You see, Amory, the bobs were ordered for five and everybody was here, so we couldn’t wait—” “Well, I couldn’t help it, could I?” “So mama said for me to wait till ha’past five. We’ll catch the bobs before it gets to the Minnehaha Club, Amory.” Amory’s shredded poise dropped from him. He pictured the happy party jingling along snowy streets, the appearance of the limousine, the horrible public descent of him and Myra before sixty reproachful eyes, his apology—a real one this time	"Look, Amory, the sleigh rides were booked for five people, and everyone was already here, so we couldn't wait." "Well, it wasn't my fault, was it?" "So Mom told me to wait until 5:30. We'll catch up with the sleighs before they get to the Minnehaha Club, Amory." Amory completely lost his cool. He imagined the happy group having fun on the snowy streets, the limo showing up, and him and Myra awkwardly getting out in front of sixty disapproving people, and him having to apologize – and this time, he'd actually mean it.

He sighed aloud. “What?” inquired Myra. “Nothing	He sighed loudly. "What's wrong?" Myra asked. "Nothing."

I was just yawning. Are we going to surely catch up with ’em before they get there?” He was encouraging a faint hope that they might slip into the Minnehaha Club and meet the others there, be found in blasé seclusion before the fire and quite regain his lost attitude. “Oh, sure Mike, we’ll catch ’em all right—let’s hurry	"I was just yawning. You think we'll catch them before they arrive?" He was hoping they could sneak into the Minnehaha Club, meet everyone there, and be found chilling by the fire, regaining his cool. "Oh, yeah, Mike, we'll definitely catch them—let's go!"

He became conscious of his stomach. As they stepped into the machine he hurriedly slapped the paint of diplomacy over a rather boxlike plan he had conceived. It was based upon some “trade-lasts” gleaned at dancing-school, to the effect that he was “awful good-looking and English, sort of.” “Myra,” he said, lowering his voice and choosing his words carefully, “I beg a thousand pardons	He suddenly felt nervous. Getting into the car, he quickly tried to cover up his somewhat clumsy scheme with smooth talk. The scheme was based on some pick-up lines he'd learned at dancing school, like how he was "really good-looking and kind of English." Lowering his voice and choosing his words carefully, he said, "Myra, I'm so sorry."

Can you ever forgive me?” She regarded him gravely, his intent green eyes, his mouth, that to her thirteen-year-old, arrow-collar taste was the quintessence of romance. Yes, Myra could forgive him very easily. “Why—yes—sure.” He looked at her again, and then dropped his eyes	"Can you ever forgive me?" She looked at him seriously, focusing on his sharp green eyes and his mouth. To her, at thirteen, his old-fashioned style was the height of romance. Yes, Myra could forgive him easily. "Yeah, sure, I forgive you." He looked at her again, then looked away.

He had lashes. “I’m awful,” he said sadly. “I’m diff’runt. I don’t know why I make faux pas	He had long eyelashes. "I'm terrible," he said, sounding sad. "I'm different. I don't know why I keep messing things up socially."

’Cause I don’t care, I s’pose.” Then, recklessly: “I been smoking too much. I’ve got t’bacca heart.” Myra pictured an all-night tobacco debauch, with Amory pale and reeling from the effect of nicotined lungs	"I guess I just don't care." Then, impulsively: "I've been smoking too much. I think I have 'tobacco heart.'" Myra imagined Amory staying up all night smoking, looking sick and dizzy from the nicotine.

She gave a little gasp. “Oh, Amory, don’t smoke. You’ll stunt your growth!” “I don’t care,” he persisted gloomily	She gasped softly. "Oh, Amory, please don't smoke. It'll stop you from growing!" "I don't care," he said, sounding down.

“I gotta. I got the habit	I have to. It's a habit now.

I’ve done a lot of things that if my fambly knew”—he hesitated, giving her imagination time to picture dark horrors—“I went to the burlesque show last week.” Myra was quite overcome. He turned the green eyes on her again. “You’re the only girl in town I like much,” he exclaimed in a rush of sentiment	"I've done things my family would freak out about if they knew"—he paused, letting her think of awful stuff—"like, I went to a burlesque show last week." Myra was really shocked. He looked at her again with his green eyes and blurted out, "You're the only girl in this town I really like!"

“You’re simpatico.” Myra was not sure that she was, but it sounded stylish though vaguely improper	"You're on my wavelength." Myra wasn't sure if that was true, but it sounded cool, even if a little inappropriate.

Thick dusk had descended outside, and as the limousine made a sudden turn she was jolted against him; their hands touched. “You shouldn’t smoke, Amory,” she whispered. “Don’t you know that?” He shook his head. “Nobody cares	It was dark outside. The limo turned sharply, and she bumped into him, their hands touching. "You shouldn't smoke, Amory," she whispered. "You know it's bad for you, right?" He shook his head. "Nobody cares."

Myra hesitated. “I care.” Something stirred within Amory	Myra paused. "I care about you." Amory felt something awaken inside him.

“Oh, yes, you do! You got a crush on Froggy Parker. I guess everybody knows that	"Yeah, you totally do! You're crushing on Froggy Parker. I think everyone knows it."

“No, I haven’t,” very slowly. A silence, while Amory thrilled. There was something fascinating about Myra, shut away here cosily from the dim, chill air. Myra, a little bundle of clothes, with strands of yellow hair curling out from under her skating cap	"No," he said, drawing it out. It got quiet, and Amory got excited. Myra was really interesting, tucked away in this warm place away from the cold and dark outside. Myra, just a small person bundled in clothes, with bits of her blonde hair sticking out from under her hat.

“Because I’ve got a crush, too—” He paused, for he heard in the distance the sound of young laughter, and, peering through the frosted glass along the lamp-lit street, he made out the dark outline of the bobbing party. He must act quickly. He reached over with a violent, jerky effort, and clutched Myra’s hand—her thumb, to be exact. “Tell him to go to the Minnehaha straight,” he whispered	"Because I'm also really into someone—" He stopped because he heard young people laughing in the distance. Looking through the blurry glass at the streetlights, he saw the blurry group of people walking. He had to do something fast. He reached out quickly and grabbed Myra's hand—specifically, her thumb. "Tell him to go directly to the Minnehaha," he whispered.

“I wanta talk to you—I got to talk to you.” Myra made out the party ahead, had an instant vision of her mother, and then—alas for convention—glanced into the eyes beside. “Turn down this side street, Richard, and drive straight to the Minnehaha Club!” she cried through the speaking tube	"I need to talk to you, I really need to talk." Myra saw the party up ahead, pictured her mom for a second, and then – forget the rules – she looked Richard in the eye. "Turn down this side street, Richard, and take me straight to the Minnehaha Club!" she yelled into the intercom.

Amory sank back against the cushions with a sigh of relief. “I can kiss her,” he thought	Amory leaned back, relieved. "I can kiss her," he thought.

“I’ll bet I can. I’ll bet I can!” Overhead the sky was half crystalline, half misty, and the night around was chill and vibrant with rich tension. From the Country Club steps the roads stretched away, dark creases on the white blanket; huge heaps of snow lining the sides like the tracks of giant moles	"I'm sure I can! I know I can!" Above, the sky was partly clear and partly foggy, and the night was cold and buzzing with energy. From the Country Club steps, the roads went off into the distance, like dark lines on the white snow. Big piles of snow lined the roads, looking like the trails of giant moles.

They lingered for a moment on the steps, and watched the white holiday moon. “Pale moons like that one”—Amory made a vague gesture—“make people mystérieuse. You look like a young witch with her cap off and her hair sorta mussed”—her hands clutched at her hair—“Oh, leave it, it looks good	They stood on the steps for a bit, looking at the bright, white moon. “Moons like that"—Amory gestured vaguely—"make people mysterious. You look like a young witch who's taken off her hat and messed up her hair"—she grabbed her hair—"Hey, leave it, it looks great."

They drifted up the stairs and Myra led the way into the little den of his dreams, where a cosy fire was burning before a big sink-down couch. A few years later this was to be a great stage for Amory, a cradle for many an emotional crisis. Now they talked for a moment about bobbing parties	They walked upstairs, and Myra led him into his favorite little room. A nice fire was going in front of a comfy couch. Later, this room would be a big deal for Amory, a place where he'd have a lot of emotional drama. Right now, they just chatted about parties.

“There’s always a bunch of shy fellas,” he commented, “sitting at the tail of the bob, sorta lurkin’ an’ whisperin’ an’ pushin’ each other off. Then there’s always some crazy cross-eyed girl”—he gave a terrifying imitation—“she’s always talkin’ hard, sorta, to the chaperon.” “You’re such a funny boy,” puzzled Myra. “How d’y’ mean?” Amory gave immediate attention, on his own ground at last	"There are always shy guys," he said, "hanging back, whispering, and messing with each other. And there's always some wild, kind of strange girl" – he did a funny impression – "she's always talking loudly to the chaperone." "You're so weird," Myra said, confused. "What do you mean?" Amory perked up, finally feeling comfortable.

“Oh—always talking about crazy things. Why don’t you come skiing with Marylyn and I tomorrow?” “I don’t like girls in the daytime,” he said shortly, and then, thinking this a bit abrupt, he added: “But I like you.” He cleared his throat. “I like you first and second and third	"Ugh, you're always talking nonsense. Why don't you come skiing with Marylyn and me tomorrow?" "I don't like girls during the day," he said, cutting her off. Then, realizing he sounded rude, he added, "But I like you." He paused awkwardly. "I really, really like you."

Myra’s eyes became dreamy. What a story this would make to tell Marylyn! Here on the couch with this wonderful-looking boy—the little fire—the sense that they were alone in the great building— Myra capitulated	Myra's eyes glazed over. She thought about how good this story would be to tell Marylyn! Here she was, on the couch with this hot guy—the small fire burning—feeling like they were the only two people in the whole building. Myra gave in.

The atmosphere was too appropriate. “I like you the first twenty-five,” she confessed, her voice trembling, “and Froggy Parker twenty-sixth.” Froggy had fallen twenty-five places in one hour	The mood felt too perfect. "I liked you best for the first twenty-five minutes," she admitted, her voice shaking, "then Froggy Parker was my favorite for the twenty-sixth minute." Froggy had dropped twenty-five spots in her ranking in just one hour.

As yet he had not even noticed it. But Amory, being on the spot, leaned over quickly and kissed Myra’s cheek	He still hadn't seen it happen. But Amory, who was right there, quickly leaned over and kissed Myra's cheek.

He had never kissed a girl before, and he tasted his lips curiously, as if he had munched some new fruit. Then their lips brushed like young wild flowers in the wind. “We’re awful,” rejoiced Myra gently	He'd never kissed anyone before, so he touched his lips, wondering what it was like, as if he'd just tried a new fruit. Then their lips barely touched, like flowers in the breeze. "We're terrible at this," Myra said softly, happily.

