ORIGINAL	TRANSLATED
I think it be no other but e’en so: Well may it sort that this portentous figure Comes armed through our watch; so like the king That was and is the question of these wars.	I think it's exactly as you say. It makes perfect sense that this ominous figure, so like the king who died and is the reason for our conflicts, appears armed before the guards.

A mote it is to trouble the mind’s eye. In the most high and palmy state of Rome, A little ere the mightiest Julius fell, The graves stood tenantless and the sheeted dead Did squeak and gibber in the Roman streets: As stars with trains of fire and dews of blood, Disasters in the sun; and the moist star Upon whose influence Neptune’s empire stands Was sick almost to doomsday with eclipse: And even the like precurse of fierce events, As harbingers preceding still the fates And prologue to the omen coming on, Have heaven and earth together demonstrated Unto our climatures and countrymen.— But soft, behold! lo, where it comes again!	It's a tiny speck that bothers the mind. Just before mighty Julius Caesar fell in Rome's most glorious days, graves opened and the ghosts of the dead shrieked in the streets, like fiery comets, bloody rain, solar eclipses. Even the moon, which controls the ocean, was almost blacked out until the end of time. Similarly, terrible events are foreshadowed, like messengers before fate, or a preview to a coming doom, and heaven and earth together have shown these signs to us all. But wait, look! Here it comes again!

I’ll cross it, though it blast me. Stay, illusion! If thou hast any sound, or use of voice, Speak to me: If there be any good thing to be done, That may to thee do ease and grace to me, Speak to me: (Cock crows.) If thou art privy to thy country’s fate, Which, happily, foreknowing may avoid, O, speak! Or if thou hast uphoarded in thy life Extorted treasure in the womb of earth, For which, they say, you spirits oft walk in death, Speak of it: stay, and speak! Stop it, Marcellus.	I'll go in front of it, even if it destroys me. Wait, ghost! If you can make any sound or speak, talk to me. If there's anything good I can do that would give you peace and give me favor, tell me. (Rooster crows.) If you know anything about what's going to happen to my country, which knowing it might prevent it, oh, tell me! Or if you hid stolen treasure in the ground while you were alive, which they say is why ghosts walk after death, tell me about it. Stay here and speak! Stop it, Marcellus.

Shall I strike at it with my partisan?	Should I hit it with my spear?

Do, if it will not stand.	If it won't stay up, then let it fall.

’Tis here!	It's here!

’Tis here!	It's here!

’Tis gone! (Exit Ghost.) We do it wrong, being so majestical, To offer it the show of violence; For it is, as the air, invulnerable, And our vain blows malicious mockery.	It’s gone! (The Ghost exits.) We're wrong to try to threaten something so majestic. It's invulnerable, like the air, and our angry hits are just a pointless joke.

It was about to speak, when the cock crew.	It was just about to talk, when the rooster crowed.

And then it started like a guilty thing Upon a fearful summons. I have heard, The cock, that is the trumpet to the morn, Doth with his lofty and shrill-sounding throat Awake the god of day; and, at his warning, Whether in sea or fire, in earth or air, The extravagant and erring spirit hies To his confine: and of the truth herein This present object made probation.	Then it jumped like someone guilty when a scary order is given. I've heard the rooster, who is like the trumpet for morning, wakes up the sun god with his loud crow. And when the rooster crows, the wandering ghost goes back to where it belongs, whether that place is in the sea, fire, earth, or sky. And seeing this ghost disappear just now proves that story is true.

It faded on the crowing of the cock. Some say that ever ’gainst that season comes Wherein our Saviour’s birth is celebrated, The bird of dawning singeth all night long: And then, they say, no spirit dare stir abroad; The nights are wholesome; then no planets strike, No fairy takes, nor witch hath power to charm, So hallow’d and so gracious is the time.	It disappeared when the rooster crowed. Some say that every year, around the time we celebrate the birth of Jesus, the rooster crows all night long. And then, they say, no ghost dares to wander; the nights are safe; then, the planets have no power, no fairy can cast a spell, and no witch can use her magic, the time is so holy and blessed.

So have I heard and do in part believe it. But, look, the morn, in russet mantle clad, Walks o’er the dew of yon high eastward hill: Break we our watch up; and by my advice, Let us impart what we have seen to-night Unto young Hamlet; for, upon my life, This spirit, dumb to us, will speak to him. Do you consent we shall acquaint him with it, As needful in our loves, fitting our duty?	That's what I've heard, and I partly believe it. But look, it's morning, dressed in a reddish robe, walking across the dew on that high hill to the east. Let's end our watch; and I suggest we tell young Hamlet what we've seen tonight. I swear, this ghost that won't speak to us will speak to him. Do you agree we should tell him, since it's important to us, and it's our duty?

Let’s do’t, I pray; and I this morning know Where we shall find him most conveniently. (Exeunt.) 	Let’s do it, please; and I know where we can find him this morning in the most convenient place. (They exit.)

Though yet of Hamlet our dear brother’s death The memory be green, and that it us befitted To bear our hearts in grief and our whole kingdom To be contracted in one brow of woe, Yet so far hath discretion fought with nature That we with wisest sorrow think on him, Together with remembrance of ourselves. Therefore our sometime sister, now our queen, The imperial jointress to this warlike state, Have we, as ’twere with a defeated joy— With an auspicious and a dropping eye, With mirth in funeral and with dirge in marriage, In equal scale weighing delight and dole— Taken to wife: nor have we herein barr’d Your better wisdoms, which have freely gone With this affair along. For all, our thanks. Now follows, that you know, young Fortinbras, Holding a weak supposal of our worth, Or thinking by our late dear brother’s death Our state to be disjoint and out of frame, Colleagued with the dream of his advantage, He hath not fail’d to pester us with message, Importing the surrender of those lands Lost by his father, with all bonds of law, To our most valiant brother. So much for him. Now for ourself and for this time of meeting: Thus much the business is: we have here writ To Norway, uncle of young Fortinbras— Who, impotent and bed-rid, scarcely hears Of this his nephew’s purpose—to suppress His further gait herein; in that the levies, The lists and full proportions, are all made Out of his subject: and we here dispatch You, good Cornelius, and you, Voltimand, For bearers of this greeting to old Norway; Giving to you no further personal power To business with the king, more than the scope Of these delated articles allow. Farewell, and let your haste commend your duty.	Although the memory of our dear brother Hamlet's death is still fresh, and it's right that we grieve deeply and our whole kingdom shares in our sorrow, reason has overcome our emotions enough that we mourn him wisely, while also remembering our own needs. Therefore, we have married our former sister-in-law, now our queen, who shares the throne of this powerful nation. We've done this with mixed feelings – with happiness mixed with sadness, with a wedding feeling like a funeral, balancing joy and grief equally. We took her as wife, and we didn’t ignore your good advice, which you freely gave in support of this decision. We thank you for that. Now, as you know, young Fortinbras, underestimating our strength, or believing that our kingdom is unstable because of our brother's recent death, and imagining he can take advantage of us, has been bothering us with demands to return the lands his father lost to our brave brother, according to the legal agreements. So, that's his situation. Now, turning to ourselves and this meeting: this is the matter: we have written to Norway, the uncle of young Fortinbras, who is old and bedridden and barely aware of his nephew's plans, asking him to stop Fortinbras's actions, since the soldiers, lists, and supplies are all being gathered from Norway's own people. And now, we send you, good Cornelius, and you, Voltimand, as messengers to old Norway, carrying this greeting. We are not giving you any more authority to deal with the king than what is written in these detailed instructions. Farewell, and let your speed show your dedication.

In that and all things will we show our duty.	We will show our loyalty in that and in everything.

We doubt it nothing: heartily farewell. (Exeunt Voltimand and Cornelius.) And now, Laertes, what’s the news with you? You told us of some suit; what is’t, Laertes? You cannot speak of reason to the Dane, And lose your voice: what wouldst thou beg, Laertes, That shall not be my offer, not thy asking? The head is not more native to the heart, The hand more instrumental to the mouth, Than is the throne of Denmark to thy father. What wouldst thou have, Laertes?	We have no doubt. Goodbye. (Voltimand and Cornelius exit.) Now, Laertes, what’s your news? You mentioned a request; what is it, Laertes? You won't waste your breath speaking to the King of Denmark. What is it you want, Laertes, that I wouldn't offer you before you even ask? My relationship to your father is as natural as the head to the heart, as useful as the hand to the mouth. What do you want, Laertes?

My dread lord, Your leave and favour to return to France; From whence though willingly I came to Denmark, To show my duty in your coronation, Yet now, I must confess, that duty done, My thoughts and wishes bend again toward France And bow them to your gracious leave and pardon.	My honored King, please allow me to return to France. Although I came to Denmark willingly to attend your coronation and show my respect, now that I've done my duty, my thoughts and desires are pulling me back to France. I humbly ask for your permission and forgiveness to leave.

Have you your father’s leave? What says Polonius?	Do you have your father's permission? What does Polonius say?

He hath, my lord, wrung from me my slow leave By laboursome petition, and at last Upon his will I seal’d my hard consent: I do beseech you, give him leave to go.	My lord, he practically forced me to grant him permission to leave, begging and pleading until finally, against my better judgment, I agreed. I beg you, please let him go.

Take thy fair hour, Laertes; time be thine, And thy best graces spend it at thy will! But now, my cousin Hamlet, and my son—	Enjoy your time, Laertes; the time is yours, and use your best qualities as you wish! But now, my nephew Hamlet, and my son—

(Aside.) A little more than kin, and less than kind.	(To himself.) Too closely related, and not at all friendly.

How is it that the clouds still hang on you?	Why are you still so sad?

Not so, my lord; I am too much i’ the sun.	No, my lord; I'm too hot.

Good Hamlet, cast thy nighted colour off, And let thine eye look like a friend on Denmark. Do not for ever with thy vailed lids Seek for thy noble father in the dust: Thou know’st ’tis common; all that lives must die, Passing through nature to eternity.	Dear Hamlet, stop wearing your dark clothes, and look kindly on your king. Don’t always look down with sadness, searching for your dead father in the ground. You know death is normal; everything alive must die, going from life to eternity.

Ay, madam, it is common.	Yes, madam, death is normal.

If it be, Why seems it so particular with thee?	If it is, why does it affect you so much?

Seems, madam! nay, it is; I know not “seems.” ’Tis not alone my inky cloak, good mother, Nor customary suits of solemn black, Nor windy suspiration of forced breath, No, nor the fruitful river in the eye, Nor the dejected ’havior of the visage, Together with all forms, moods, shapes of grief, That can denote me truly: these indeed seem, For they are actions that a man might play: But I have that within which passeth show; These but the trappings and the suits of woe.	Looks, madam! No, it is; I don't know "looks." It's not just my black clothes, dear mother, or the usual formal black outfits, or heavy sighs, or even the tears in my eyes, or my sad expression, along with all the ways people show grief, that truly show who I am. These things only appear to be, because they are actions someone could fake. But I have something inside that goes beyond what you see; these are just the clothes and decorations of sorrow.

’Tis sweet and commendable in your nature, Hamlet, To give these mourning duties to your father: But, you must know, your father lost a father; That father lost, lost his, and the survivor bound In filial obligation for some term To do obsequious sorrow: but to persever In obstinate condolement is a course Of impious stubbornness; ’tis unmanly grief; It shows a will most incorrect to heaven, A heart unfortified, a mind impatient, An understanding simple and unschool’d: For what we know must be and is as common As any the most vulgar thing to sense, Why should we in our peevish opposition Take it to heart? Fie! ’tis a fault to heaven, A fault against the dead, a fault to nature, To reason most absurd; whose common theme Is death of fathers, and who still hath cried, From the first corse till he that died to-day, “This must be so.” We pray you, throw to earth This unprevailing woe, and think of us As of a father: for let the world take note, You are the most immediate to our throne; And with no less nobility of love Than that which dearest father bears his son, Do I impart toward you. For your intent In going back to school in Wittenberg, It is most retrograde to our desire: And we beseech you, bend you to remain Here, in the cheer and comfort of our eye, Our chiefest courtier, cousin, and our son.	Hamlet, it's good and natural that you mourn your father. But remember, everyone's father eventually dies. Their fathers died too, and they mourned for a while. But to grieve excessively is stubborn, sinful, and unmanly. It shows a lack of faith, a weak heart, an impatient mind, and a simple understanding. Death is a common thing, so why be so upset? It's a sin against heaven, the dead, and nature itself. Death happens to everyone. From the first death until today, it's always been this way. Please, put aside this useless grief, and think of me as your father. Everyone knows you are next in line to be king. And I love you as much as any father loves his son. As for your plan to return to school in Wittenberg, we don't want you to go. We ask you to stay here, where we can see you and be comforted by you. Stay here as our most important advisor, relative, and son.

Let not thy mother lose her prayers, Hamlet: I pray thee, stay with us; go not to Wittenberg.	Don't let your mother waste her pleas, Hamlet. I beg you, stay with us; don't go to Wittenberg.

I shall in all my best obey you, madam.	I will do my best to obey you, madam.

Why, ’tis a loving and a fair reply: Be as ourself in Denmark. Madam, come; This gentle and unforced accord of Hamlet Sits smiling to my heart: in grace whereof, No jocund health that Denmark drinks to-day, But the great cannon to the clouds shall tell, And the king’s rouse the heavens shall bruit again, Re-speaking earthly thunder. Come away. (Exeunt all but Hamlet.)	Well, that's a kind and generous answer. Consider yourself as important as I am here in Denmark. Madam, come with me; Hamlet's willing and natural agreement makes me very happy. To celebrate this, every joyful toast in Denmark today will be announced by cannon fire that reaches the clouds, and the King's cheers will echo through the heavens like thunder on Earth. Come, let's go.

O, that this too too solid flesh would melt, Thaw and resolve itself into a dew! Or that the Everlasting had not fix’d His canon ’gainst self-slaughter! O God! God! How weary, stale, flat and unprofitable, Seem to me all the uses of this world! Fie on’t! ah fie! ’tis an unweeded garden, That grows to seed; things rank and gross in nature Possess it merely. That it should come to this! But two months dead: nay, not so much, not two: So excellent a king; that was, to this, Hyperion to a satyr; so loving to my mother That he might not beteem the winds of heaven Visit her face too roughly. Heaven and earth! Must I remember? why, she would hang on him, As if increase of appetite had grown By what it fed on: and yet, within a month— Let me not think on’t—Frailty, thy name is woman!— A little month, or ere those shoes were old With which she follow’d my poor father’s body, Like Niobe, all tears:—why she, even she— O, God! a beast, that wants discourse of reason, Would have mourn’d longer—married with my uncle, My father’s brother, but no more like my father Than I to Hercules: within a month: Ere yet the salt of most unrighteous tears Had left the flushing in her galled eyes, She married. O, most wicked speed, to post With such dexterity to incestuous sheets! It is not nor it cannot come to good: But break, my heart; for I must hold my tongue.	Oh, I wish my body would just melt away and turn into dew! Or that God hadn't made it a sin to kill yourself! God, God! How boring, rotten, and pointless everything in this world seems to me! Damn it! It's like an overgrown, weedy garden that's gone wild. Only disgusting, vulgar things grow here. That things should come to this! My father's only been dead two months, not even that long. He was such a great king, like a god compared to my uncle, a beast. He loved my mother so much he wouldn't even let the wind touch her face too hard. God, do I have to remember this? She used to cling to him, like her love for him only grew the more she showed it. And yet, within a month—I don't want to think about it—Weakness, that's what you are, woman!—In less than a month, before the shoes she wore to my father's funeral were even worn out, she remarried, like a weeping statue. God! Even an animal without reason would have mourned longer. She married my uncle, my father’s brother, who's as different from my father as I am from Hercules. Within a month! Before she'd even stopped crying over his death, she remarried. How horribly fast, rushing into a sinful marriage! This can't end well. But my heart is breaking; I have to stay silent.

Hail to your lordship!	Greetings, my lord!

I am glad to see you well: Horatio—or I do forget myself.	I'm happy you're doing well, Horatio—unless I've forgotten who I am.

The same, my lord, and your poor servant ever.	The same, my lord, and always your loyal servant.

Sir, my good friend; I’ll change that name with you: And what make you from Wittenberg, Horatio? Marcellus?	Hey, my good friend; I'll call you that too. And what brings you here from Wittenberg, Horatio? Marcellus?

My good lord—	My lord—

I am very glad to see you. Good even, sir. But what, in faith, make you from Wittenberg?	I'm really happy to see you. Good evening, sir. But honestly, what brings you here from Wittenberg?

A truant disposition, good my lord.	I'm feeling like skipping school, my lord.

I would not hear your enemy say so, Nor shall you do mine ear that violence, To make it truster of your own report Against yourself: I know you are no truant. But what is your affair in Elsinore? We’ll teach you to drink deep ere you depart.	I wouldn't want my enemy to say that about you, and I won't let you hurt my ears by making them believe your own accusations against yourself. I know you're not skipping duties. But what's your business in Elsinore? We'll show you how to really drink before you leave.

My lord, I came to see your father’s funeral.	My lord, I came to attend your father's funeral.

I pray thee, do not mock me, fellow-student; I think it was to see my mother’s wedding.	Please, don't make fun of me, my friend; I think I was there to see my mother's wedding.

Indeed, my lord, it follow’d hard upon.	Yes, my lord, it happened very soon after.

Thrift, thrift, Horatio! the funeral baked meats Did coldly furnish forth the marriage tables. Would I had met my dearest foe in heaven Or ever I had seen that day, Horatio! My father!—methinks I see my father.	Save, save, Horatio! The leftover food from the funeral was served as a cold meal at the wedding. I wish I had met my worst enemy in heaven before I ever saw that day, Horatio! My father!—I think I see my father.

Where, my lord?	Where, sir?

In my mind’s eye, Horatio.	In my imagination, Horatio.

I saw him once; he was a goodly king.	I saw him once; he was a handsome king.

He was a man, take him for all in all, I shall not look upon his like again.	He was a great man, all things considered. I won't see someone like him again.

My lord, I think I saw him yesternight.	My lord, I think I saw him last night.

Saw? who?	Saw who?

My lord, the king your father.	My lord, your father, the king.

The king my father!	My father, the king!

Season your admiration for a while With an attent ear, till I may deliver, Upon the witness of these gentlemen, This marvel to you.	Hold your surprise for a moment and listen closely, until I can tell you, with these men as witnesses, about this incredible thing that happened.

For God’s love, let me hear.	For God's sake, let me listen.

Two nights together had these gentlemen, Marcellus and Bernardo, on their watch, In the dead vast and middle of the night, Been thus encounter’d. A figure like your father, Armed at point exactly, cap-a-pe, Appears before them, and with solemn march Goes slow and stately by them: thrice he walk’d By their oppress’d and fear-surprised eyes, Within his truncheon’s length; whilst they, distill’d Almost to jelly with the act of fear, Stand dumb and speak not to him. This to me In dreadful secrecy impart they did; And I with them the third night kept the watch: Where, as they had deliver’d, both in time, Form of the thing, each word made true and good, The apparition comes: I knew your father; These hands are not more like.	For two nights in a row, Marcellus and Bernardo, while on guard duty late at night, were met with this. A figure resembling your father, fully armed from head to toe, appeared before them and walked slowly and formally past them. Three times he walked within the length of his spear, right in front of their frightened eyes. They were so terrified they were practically paralyzed, and they stood silently without speaking to him. They told me all this in strict confidence, and I joined them on guard duty the third night. Just as they described, everything happened exactly as they said: the figure appeared at the right time, and every detail matched their account. I recognized your father; I am sure of it.

But where was this?	But where did this happen?

My lord, upon the platform where we watch’d.	My lord, on the platform where we were standing guard.

Did you not speak to it?	Didn't you talk to it?

My lord, I did; But answer made it none: yet once methought It lifted up its head and did address Itself to motion, like as it would speak; But even then the morning cock crew loud, And at the sound it shrunk in haste away, And vanish’d from our sight.	My lord, I did see it; but it didn't reply. I thought it once lifted its head and seemed about to move, as if it would speak. But right then, the rooster crowed loudly, and at the sound, it quickly disappeared, vanishing from our sight.

’Tis very strange.	That's really weird.

As I do live, my honour’d lord, ’tis true; And we did think it writ down in our duty To let you know of it.	I swear it's true, my lord; we felt it was our duty to tell you about this.

Indeed, indeed, sirs, but this troubles me. Hold you the watch to-night?	Yes, yes, gentlemen, but this worries me. Are you on guard duty tonight?

We do, my lord.	We will, my lord.

Arm’d, say you?	You say armed?

Arm’d, my lord.	Wearing armor, my lord.

From top to toe?	From head to foot?

My lord, from head to foot.	My lord, from top to bottom.

Then saw you not his face?	Didn't you see his face?

O, yes, my lord; he wore his beaver up.	Yes, my lord; he had his helmet visor raised.

What, look’d he frowningly?	Did he look angry?

A countenance more in sorrow than in anger.	A face that looked more sad than angry.

Pale or red?	Are you pale or blushing?

Nay, very pale.	Yes, very pale.

And fix’d his eyes upon you?	And stared at you?

Most constantly.	Very faithfully.

I would I had been there.	I wish I had been there.

It would have much amazed you.	It would have greatly surprised you.

Very like, very like. Stay’d it long?	Yes, very similar, very similar. Did it stay long?

While one with moderate haste might tell a hundred.	Someone could count to a hundred fairly quickly.

Longer, longer.	Keep going.

Not when I saw’t.	Not when I saw it.

His beard was grizzled—no?	Was his beard gray? Right?

It was, as I have seen it in his life, A sable silver’d.	In his lifetime, it was like dark clothing edged with silver.

I will watch to-night; Perchance ’twill walk again.	I will stay awake tonight; maybe it will appear again.

I warrant it will.	I'm sure it will.

If it assume my noble father’s person, I’ll speak to it, though hell itself should gape And bid me hold my peace. I pray you all, If you have hitherto conceal’d this sight, Let it be tenable in your silence still; And whatsoever else shall hap to-night, Give it an understanding, but no tongue: I will requite your loves. So, fare you well: Upon the platform, ’twixt eleven and twelve, I’ll visit you.	If it looks like my dead father, I'll speak to it, even if hell itself opens up and tells me to be quiet. I beg you all, if you've kept this a secret until now, continue to keep it a secret. And whatever else happens tonight, understand it, but don't talk about it. I will repay your loyalty. Goodbye for now. I'll meet you on the platform between eleven and twelve.

Our duty to your honour.	We are at your service.

Your loves, as mine to you: farewell. (Exeunt all but Hamlet.) My father’s spirit in arms! all is not well; I doubt some foul play: would the night were come! Till then sit still, my soul: foul deeds will rise, Though all the earth o’erwhelm them, to men’s eyes. (Exit.)	Goodbye, with as much love as I have for you. (Everyone leaves except Hamlet.) My father's ghost in armor! Something's wrong; I suspect something dishonest. I wish it were night already! Until then, be patient, my soul: evil acts will be revealed, even if hidden. (Leaves.)

My necessaries are embark’d: farewell: And, sister, as the winds give benefit And convoy is assistant, do not sleep, But let me hear from you.	My things are already on the ship. Goodbye. And, sister, as soon as the winds are favorable and you can get someone to send a message, don't delay, but let me hear from you.

Do you doubt that?	Do you question that?

For Hamlet and the trifling of his favour, Hold it a fashion and a toy in blood, A violet in the youth of primy nature, Forward, not permanent, sweet, not lasting, The perfume and suppliance of a minute; No more.	As for Hamlet and his fleeting affection, consider it a passing trend, a youthful infatuation. Like a violet blooming briefly in springtime, it's eager but not lasting, sweet but temporary, a pleasant scent that lasts only a moment; nothing more.

No more but so?	Is that all?

Think it no more: For nature, crescent, does not grow alone In thews and bulk, but, as this temple waxes, The inward service of the mind and soul Grows wide withal. Perhaps he loves you now, And now no soil nor cautel doth besmirch The virtue of his will: but you must fear, His greatness weigh’d, his will is not his own; For he himself is subject to his birth: He may not, as unvalued persons do, Carve for himself; for on his choice depends The safety and health of this whole state; And therefore must his choice be circumscribed Unto the voice and yielding of that body Whereof he is the head. Then if he says he loves you, It fits your wisdom so far to believe it As he in his particular act and place May give his saying deed; which is no further Than the main voice of Denmark goes withal. Then weigh what loss your honour may sustain, If with too credent ear you list his songs, Or lose your heart, or your chaste treasure open To his unmaster’d importunity. Fear it, Ophelia, fear it, my dear sister, And keep you in the rear of your affection, Out of the shot and danger of desire. The chariest maid is prodigal enough, If she unmask her beauty to the moon: Virtue itself ’scapes not calumnious strokes: The canker galls the infants of the spring, Too oft before their buttons be disclosed, And in the morn and liquid dew of youth Contagious blastments are most imminent. Be wary then; best safety lies in fear: Youth to itself rebels, though none else near.	Forget about him. A person's character develops along with their body. As he matures, his mind and soul expand as well. He might love you now, and his intentions might be pure. But you must remember that he is the prince, and his choices are not his alone. He is bound by his royal birth. Unlike ordinary people, he can't simply choose for himself because the well-being of the entire country depends on his decision. He must choose according to the will of the kingdom he leads. So, if he says he loves you, believe it only to the extent that his position allows him to act on his words, which is only as far as the country permits. Consider what you could lose if you believe his words too easily, give him your heart, or surrender your virginity to his uncontrolled desires. Be careful, Ophelia, be careful, my dear sister. Keep your feelings in check, away from the danger of desire. Even the most virtuous girl is too generous if she reveals her beauty openly. Even virtue is slandered. Problems often destroy young people before they even blossom. In the freshness of youth, diseases are most likely to spread. So be cautious. The safest course is to be fearful. Youth is rebellious by nature, even without outside influences.

